Id,Label,timeset,modularity_class
Q9BV20|MTNA_HUMAN,,,25
Q8NFC6|BD1L1_HUMAN,,,1
Q9H2E6|SEM6A_HUMAN,,,3
Q8WZ60|KLHL6_HUMAN,,,17
Q86YJ7|AN13B_HUMAN,,,5
Q13395|TARB1_HUMAN,,,15
O43681|ASNA_HUMAN,,,5
Q9BZR6|RTN4R_HUMAN,,,2
P23515|OMGP_HUMAN,,,17
P25789|PSA4_HUMAN,,,5
Q96DE5|APC16_HUMAN,,,20
P43686|PRS6B_HUMAN,,,5
P63208|SKP1_HUMAN,,,17
P55072|TERA_HUMAN,,,5
Q99460|PSMD1_HUMAN,,,5
O60260|PRKN2_HUMAN,,,19
Q99436|PSB7_HUMAN,,,5
Q9C0J9|BHE41_HUMAN,,,19
P25963|IKBA_HUMAN,,,6
Q13094|LCP2_HUMAN,,,3
P19174|PLCG1_HUMAN,,,3
Q8IVH8|M4K3_HUMAN,,,3
P06241|FYN_HUMAN,,,3
P07585|PGS2_HUMAN,,,7
P14555|PA2GA_HUMAN,,,15
P15502|ELN_HUMAN,,,7
P08123|CO1A2_HUMAN,,,3
P21333|FLNA_HUMAN,,,13
P02452|CO1A1_HUMAN,,,3
P01137|TGFB1_HUMAN,,,9
P06213|INSR_HUMAN,,,3
P53420|CO4A4_HUMAN,,,7
Q02223|TNR17_HUMAN,,,6
O75888|TNF13_HUMAN,,,6
Q9Y4K3|TRAF6_HUMAN,,,6
P82664|RT10_HUMAN,,,10
P46782|RS5_HUMAN,,,10
P28702|RXRB_HUMAN,,,1
Q96C28|ZN707_HUMAN,,,2
P28799|GRN_HUMAN,,,12
P62879|GBB2_HUMAN,,,0
P50750|CDK9_HUMAN,,,21
P46109|CRKL_HUMAN,,,3
P24941|CDK2_HUMAN,,,13
Q96RU7|TRIB3_HUMAN,,,12
Q15836|VAMP3_HUMAN,,,11
Q9Y6K9|NEMO_HUMAN,,,6
Q9BSI4|TINF2_HUMAN,,,1
Q9UNK0|STX8_HUMAN,,,11
Q15293|RCN1_HUMAN,,,25
Q3V6T2|GRDN_HUMAN,,,12
Q9P244|LRFN1_HUMAN,,,12
O95229|ZWINT_HUMAN,,,20
P61604|CH10_HUMAN,,,25
Q15942|ZYX_HUMAN,,,15
O76003|GLRX3_HUMAN,,,25
Q12906|ILF3_HUMAN,,,10
Q8IX12|CCAR1_HUMAN,,,10
P35250|RFC2_HUMAN,,,1
Q13573|SNW1_HUMAN,,,10
P05412|JUN_HUMAN,,,1
Q9Y3I0|RTCB_HUMAN,,,10
P15927|RFA2_HUMAN,,,1
Q12774|ARHG5_HUMAN,,,3
P00533|EGFR_HUMAN,,,3
Q9Y4A8|NF2L3_HUMAN,,,12
Q9BYV9|BACH2_HUMAN,,,12
Q96KP6|TNIP3_HUMAN,,,6
P19838|NFKB1_HUMAN,,,17
Q86VP1|TAXB1_HUMAN,,,6
P13489|RINI_HUMAN,,,6
Q9Y5Z4|HEBP2_HUMAN,,,25
O75340|PDCD6_HUMAN,,,25
O75508|CLD11_HUMAN,,,6
O14817|TSN4_HUMAN,,,3
Q969Z4|TR19L_HUMAN,,,8
A8MVW5|HECA2_HUMAN,,,6
Q9UEW8|STK39_HUMAN,,,13
Q99959|PKP2_HUMAN,,,0
Q9GZM8|NDEL1_HUMAN,,,4
Q5JR59|MTUS2_HUMAN,,,4
Q9NRR4|RNC_HUMAN,,,10
Q13642|FHL1_HUMAN,,,1
P84022|SMAD3_HUMAN,,,1
P17020|ZNF16_HUMAN,,,13
O00257|CBX4_HUMAN,,,1
Q96PE3|INP4A_HUMAN,,,2
O95714|HERC2_HUMAN,,,2
P27986|P85A_HUMAN,,,3
Q6J9G0|STYK1_HUMAN,,,19
P49841|GSK3B_HUMAN,,,12
P29992|GNA11_HUMAN,,,0
P35368|ADA1B_HUMAN,,,13
Q13507|TRPC3_HUMAN,,,0
P09067|HXB5_HUMAN,,,2
O14921|RGS13_HUMAN,,,0
Q68CJ9|CR3L3_HUMAN,,,12
Q9Y297|FBW1A_HUMAN,,,12
Q13616|CUL1_HUMAN,,,17
Q16649|NFIL3_HUMAN,,,12
Q96BA8|CR3L1_HUMAN,,,12
Q8WUI4|HDAC7_HUMAN,,,1
O95789|ZMYM6_HUMAN,,,21
P49773|HINT1_HUMAN,,,25
P29590|PML_HUMAN,,,1
P41182|BCL6_HUMAN,,,1
Q15139|KPCD1_HUMAN,,,3
Q9Y618|NCOR2_HUMAN,,,1
Q9UGL1|KDM5B_HUMAN,,,1
P55317|FOXA1_HUMAN,,,1
Q92993|KAT5_HUMAN,,,1
Q8IXA5|SACA3_HUMAN,,,7
Q96EN8|MOCOS_HUMAN,,,13
P82673|RT35_HUMAN,,,2
Q9H9J4|UBP42_HUMAN,,,2
Q9Y6G3|RM42_HUMAN,,,2
Q8N5N7|RM50_HUMAN,,,2
P82933|RT09_HUMAN,,,2
Q92624|APBP2_HUMAN,,,17
Q9H1J7|WNT5B_HUMAN,,,0
Q8NHQ8|RASF8_HUMAN,,,12
Q8WVM8|SCFD1_HUMAN,,,11
Q96ES6|MFSD3_HUMAN,,,25
Q8NE63|HIPK4_HUMAN,,,2
Q9BXJ5|C1QT2_HUMAN,,,2
P62158|CALM_HUMAN,,,0
O75493|CAH11_HUMAN,,,15
P07954|FUMH_HUMAN,,,25
